"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"05/04/98","C. Sangro","Monza",1,1,"D","97/98"
"05/04/98","Ancona","Perugia",2,2,"D","97/98"
"04/04/98","Salernitana","Cagliari",1,0,"H","97/98"
"22/03/98","Treviso","Ancona",5,0,"H","97/98"
"22/03/98","Torino","Monza",1,0,"H","97/98"
"22/03/98","Reggina","Lucchese",0,0,"D","97/98"
"22/03/98","Pescara","Salernitana",0,0,"D","97/98"
"22/03/98","Padova","Perugia",3,1,"H","97/98"
"22/03/98","Genoa","Reggiana",2,2,"D","97/98"
"22/03/98","F. Andria","Foggia",2,0,"H","97/98"
"22/03/98","Cagliari","Ravenna",2,1,"H","97/98"
"22/03/98","C. Sangro","Chievo",0,4,"A","97/98"
"21/03/98","Verona","Venezia",0,1,"A","97/98"
"15/03/98","Venezia","Torino",0,0,"D","97/98"
"15/03/98","Salernitana","C. Sangro",1,0,"H","97/98"
"15/03/98","Reggiana","Padova",0,2,"A","97/98"
"15/03/98","Ravenna","Treviso",2,0,"H","97/98"
"15/03/98","Perugia","Reggina",0,1,"A","97/98"
"15/03/98","Monza","Cagliari",0,0,"D","97/98"
"15/03/98","Lucchese","Pescara",0,3,"A","97/98"
"15/03/98","Foggia","Genoa",3,1,"H","97/98"
"15/03/98","Ancona","F. Andria",2,0,"H","97/98"
"14/03/98","Chievo","Verona",2,0,"H","97/98"
"08/03/98","Treviso","Reggiana",0,5,"A","97/98"
"08/03/98","Torino","Verona",2,1,"H","97/98"
"08/03/98","Reggina","Ancona",2,1,"H","97/98"
"08/03/98","Pescara","Foggia",1,0,"H","97/98"
"08/03/98","Perugia","Salernitana",1,1,"D","97/98"
"08/03/98","Padova","Venezia",0,0,"D","97/98"
"08/03/98","F. Andria","Monza",1,3,"A","97/98"
"08/03/98","Chievo","Ravenna",2,0,"H","97/98"
"08/03/98","Cagliari","Genoa",1,1,"D","97/98"
"08/03/98","C. Sangro","Lucchese",0,2,"A","97/98"
"01/03/98","Verona","Pescara",2,0,"H","97/98"
"01/03/98","Venezia","Ancona",1,1,"D","97/98"
"01/03/98","Treviso","Perugia",2,1,"H","97/98"
"01/03/98","Salernitana","Padova",2,0,"H","97/98"
"01/03/98","Reggiana","Chievo",2,2,"D","97/98"
"01/03/98","Ravenna","C. Sangro",1,3,"A","97/98"
"01/03/98","Monza","Reggina",0,1,"A","97/98"
"01/03/98","Lucchese","F. Andria",1,0,"H","97/98"
"01/03/98","Foggia","Cagliari",1,1,"D","97/98"
"28/02/98","Genoa","Torino",2,2,"D","97/98"
"22/02/98","Torino","Pescara",0,1,"A","97/98"
"22/02/98","Reggina","Foggia",0,0,"D","97/98"
"22/02/98","Reggiana","Salernitana",0,1,"A","97/98"
"22/02/98","Perugia","Venezia",2,0,"H","97/98"
"22/02/98","Padova","Lucchese",1,1,"D","97/98"
"22/02/98","F. Andria","C. Sangro",1,0,"H","97/98"
"22/02/98","Chievo","Genoa",0,1,"A","97/98"
"22/02/98","Cagliari","Verona",2,1,"H","97/98"
"22/02/98","Ancona","Ravenna",0,2,"A","97/98"
"21/02/98","Monza","Treviso",1,1,"D","97/98"
"15/02/98","Verona","Padova",5,1,"H","97/98"
"15/02/98","Venezia","Monza",4,2,"H","97/98"
"15/02/98","Salernitana","Chievo",2,3,"A","97/98"
"15/02/98","Ravenna","Reggiana",2,3,"A","97/98"
"15/02/98","Pescara","F. Andria",0,2,"A","97/98"
"15/02/98","Lucchese","Perugia",0,0,"D","97/98"
"15/02/98","Genoa","Ancona",2,1,"H","97/98"
"15/02/98","Foggia","Torino",0,3,"A","97/98"
"15/02/98","C. Sangro","Cagliari",0,3,"A","97/98"
"14/02/98","Treviso","Reggina",2,0,"H","97/98"
"08/02/98","Venezia","Foggia",1,0,"H","97/98"
"08/02/98","Salernitana","Treviso",4,0,"H","97/98"
"08/02/98","Reggiana","Reggina",1,1,"D","97/98"
"08/02/98","Perugia","Ravenna",2,1,"H","97/98"
"08/02/98","Padova","Torino",2,1,"H","97/98"
"08/02/98","Monza","Verona",5,1,"H","97/98"
"08/02/98","Lucchese","Genoa",2,3,"A","97/98"
