"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"I1","09/12/17","Juventus","Inter",0,0,"D",0,0,"D",19,6,8,1,10,21,3,4,2,5,0,0,1.7,3.75,5.25,1.7,3.8,5,1.65,4,5,1.7,3.7,5,"17/18"
"I1","10/12/17","Chievo","Roma",0,0,"D",0,0,"D",9,24,1,8,10,8,1,13,1,2,0,0,5.5,4,1.61,5.5,4,1.62,5,4,1.65,5.2,3.9,1.61,"17/18"
"I1","10/12/17","Milan","Bologna",2,1,"H",1,1,"D",21,10,7,2,9,7,12,7,0,0,0,0,1.5,4.2,7,1.5,4.1,7,1.55,4,6.2,1.5,4,7,"17/18"
"I1","10/12/17","Napoli","Fiorentina",0,0,"D",0,0,"D",10,6,4,3,10,6,4,2,3,3,0,0,1.36,5.5,7.5,1.36,5.25,8,1.4,4.8,7.5,1.36,5,8,"17/18"
"I1","10/12/17","Sassuolo","Crotone",2,1,"H",0,0,"D",16,8,7,2,10,15,8,6,3,2,0,0,1.83,3.6,4.5,1.8,3.5,4.75,1.9,3.5,4.1,1.75,3.5,4.6,"17/18"
"I1","10/12/17","Spal","Verona",2,2,"D",0,0,"D",19,16,10,8,14,15,8,6,3,2,0,0,2.04,3.5,3.6,2.05,3.3,3.8,2.2,3.25,3.4,2.05,3.25,3.7,"17/18"
"I1","10/12/17","Udinese","Benevento",2,0,"H",2,0,"H",9,20,2,5,16,15,3,9,1,2,0,0,1.5,4.2,7,1.48,4.33,7,1.5,4.2,6.5,1.5,4.25,6.5,"17/18"
"I1","11/12/17","Lazio","Torino",1,3,"A",0,0,"D",20,18,7,6,7,16,13,2,1,1,1,0,1.5,4.75,5.75,1.5,4.6,6,1.55,4,6.2,1.5,4.4,6,"17/18"
"I1","12/12/17","Genoa","Atalanta",1,2,"A",1,1,"D",15,13,4,7,14,20,7,5,3,2,0,0,3.1,3.29,2.37,3.1,3.3,2.35,2.85,3.3,2.5,3,3.1,2.37,"17/18"
"I1","16/12/17","Inter","Udinese",1,3,"A",1,1,"D",26,8,8,5,9,16,15,3,1,4,0,0,1.33,5.25,9,1.3,5.5,10,1.4,4.8,7.5,1.33,5,10,"17/18"
"I1","16/12/17","Roma","Cagliari",1,0,"H",0,0,"D",21,3,6,0,14,15,5,1,1,3,0,0,1.25,6,12,1.26,6.25,10.5,1.25,6,11,1.25,6,13,"17/18"
"I1","16/12/17","Torino","Napoli",1,3,"A",0,3,"A",8,12,2,4,8,8,4,5,1,1,0,0,5.5,3.89,1.61,5,4,1.67,4.7,3.9,1.7,5,3.9,1.67,"17/18"
"I1","17/12/17","Atalanta","Lazio",3,3,"D",2,2,"D",13,13,6,4,5,12,5,7,2,2,0,0,2.37,3.39,3,2.35,3.4,3,2.5,3.3,2.85,2.3,3.4,3,"17/18"
"I1","17/12/17","Benevento","Spal",1,2,"A",0,0,"D",16,14,4,5,14,11,6,3,2,3,0,0,2.87,3.1,2.62,2.8,3.2,2.65,2.95,3.3,2.4,2.75,3.2,2.6,"17/18"
"I1","17/12/17","Bologna","Juventus",0,3,"A",0,2,"A",3,11,1,6,9,9,3,7,3,1,0,0,7,4.75,1.44,7,4.6,1.45,7,4.5,1.45,7.5,4.25,1.44,"17/18"
"I1","17/12/17","Crotone","Chievo",1,0,"H",1,0,"H",15,15,6,4,17,13,6,4,4,4,0,0,3.2,3.2,2.37,3.3,3.2,2.3,2.85,3.3,2.5,3.1,3.1,2.35,"17/18"
"I1","17/12/17","Fiorentina","Genoa",0,0,"D",0,0,"D",22,5,4,3,13,9,3,4,2,2,0,0,1.57,4,6,1.6,4.1,5.5,1.6,4,5.5,1.6,3.9,5.5,"17/18"
"I1","17/12/17","Sampdoria","Sassuolo",0,1,"A",0,0,"D",13,15,2,7,15,16,7,5,1,6,0,0,1.8,4,4.2,1.78,3.8,4.4,1.7,3.7,5,1.8,3.75,4.2,"17/18"
"I1","17/12/17","Verona","Milan",3,0,"H",1,0,"H",6,30,4,8,12,13,4,13,3,2,0,1,5.5,4.33,1.57,5.25,4.2,1.6,5,4,1.65,5.5,4,1.57,"17/18"
"I1","22/12/17","Cagliari","Fiorentina",0,1,"A",0,0,"D",8,26,1,7,14,13,7,10,2,2,1,0,3.25,3.29,2.25,3.25,3.3,2.3,3.15,3.3,2.3,3.1,3.25,2.25,"17/18"
"I1","22/12/17","Chievo","Bologna",2,3,"A",1,1,"D",21,9,8,5,13,13,7,5,2,2,0,1,2.54,3,3,2.5,3.1,3.1,2.3,3.1,3.4,2.55,3.1,2.87,"17/18"
"I1","23/12/17","Genoa","Benevento",1,0,"H",0,0,"D",15,12,5,3,14,17,8,4,2,5,0,0,1.44,4.33,8,1.42,4.4,8.75,1.5,4.2,6.5,1.44,4.33,8,"17/18"
"I1","23/12/17","Juventus","Roma",1,0,"H",1,0,"H",22,13,7,3,9,13,3,5,2,3,0,0,1.8,3.6,4.75,1.8,3.6,4.6,1.8,3.6,4.5,1.8,3.5,4.5,"17/18"
"I1","23/12/17","Lazio","Crotone",4,0,"H",0,0,"D",19,8,6,2,12,7,10,3,1,2,0,0,1.22,6.5,13,1.22,6.5,13.5,1.25,6,11,1.22,6,15,"17/18"
"I1","23/12/17","Milan","Atalanta",0,2,"A",0,1,"A",23,11,5,7,17,11,7,4,2,0,0,0,2.39,3.25,3,2.5,3.3,2.9,2.3,3.3,3.15,2.4,3.25,2.9,"17/18"
"I1","23/12/17","Napoli","Sampdoria",3,2,"H",3,2,"H",14,6,9,2,17,15,2,2,4,5,1,0,1.25,6,12,1.28,6,10,1.27,6,10,1.25,6,12,"17/18"
"I1","23/12/17","Sassuolo","Inter",1,0,"H",1,0,"H",9,16,4,4,14,18,1,10,1,2,0,0,5,3.75,1.72,4.75,3.8,1.75,4.5,3.8,1.75,4.4,3.7,1.75,"17/18"
"I1","23/12/17","Spal","Torino",2,2,"D",1,2,"A",15,15,4,5,12,21,9,3,4,2,0,0,3.6,3.39,2.1,3.5,3.3,2.15,3.5,3.4,2.1,3.4,3.4,2.1,"17/18"
"I1","23/12/17","Udinese","Verona",4,0,"H",2,0,"H",27,3,10,0,12,15,7,1,0,3,0,0,1.66,3.79,5.25,1.7,3.7,5.25,1.65,3.8,5.3,1.67,3.8,5,"17/18"
